ImageId,Label
0,2
1,0
2,9
3,0
4,0
5,7
6,0
7,0
8,0
9,0
10,0
11,0
12,4
13,0
14,4
15,0
16,0
17,0
18,9
19,0
20,9
21,0
22,0
23,0
24,0
25,4
26,2
27,7
28,0
29,0
30,0
31,0
32,4
33,2
34,6
35,2
36,0
37,0
38,0
39,6
40,7
41,7
42,4
43,9
44,0
45,7
46,0
47,2
48,6
49,7
50,6
51,0
52,0
53,0
54,0
55,2
56,0
57,0
58,2
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,9
68,0
69,0
70,6
71,0
72,0
73,0
74,2
75,0
76,9
77,9
78,2
79,0
80,0
81,0
82,0
83,0
84,9
85,2
86,4
87,0
88,6
89,0
90,2
91,0
92,6
93,6
94,0
95,0
96,0
97,9
98,7
99,4
100,0
101,0
102,2
103,0
104,0
105,0
106,0
107,0
108,0
109,9
110,0
111,0
112,4
113,0
114,0
115,7
116,0
117,0
118,0
119,0
120,0
121,0
122,2
123,0
124,6
125,0
126,0
127,0
128,0
129,4
130,0
131,0
132,6
133,0
134,0
135,0
136,0
137,0
138,0
139,6
140,0
141,0
142,4
143,0
144,0
145,0
146,0
147,7
148,2
149,0
150,4
151,0
152,0
153,6
154,0
155,0
156,0
157,0
158,7
159,0
160,0
161,0
162,0
163,0
164,0
165,2
166,7
167,6
168,0
169,0
170,2
171,0
172,0
173,6
174,0
175,0
176,0
177,4
178,0
179,2
180,4
181,0
182,0
183,2
184,4
185,9
186,2
187,0
188,6
189,0
190,6
191,0
192,0
193,9
194,6
195,0
196,9
197,0
198,6
199,9
200,0
201,9
202,0
203,9
204,9
205,0
206,0
207,4
208,6
209,2
210,0
211,9
212,0
213,6
214,0
215,2
216,0
217,6
218,0
219,0
220,2
221,0
222,0
223,2
224,2
225,0
226,4
227,6
228,0
229,0
230,0
231,0
232,9
233,0
234,7
235,0
236,2
237,0
238,0
239,6
240,0
241,6
242,2
243,0
244,0
245,0
246,4
247,0
248,0
249,0
250,9
251,7
252,0
253,0
254,0
255,4
256,0
257,0
258,4
259,0
260,6
261,0
262,0
263,0
264,7
265,0
266,6
267,0
268,0
269,0
270,6
271,0
272,6
273,0
274,9
275,0
276,0
277,0
278,0
279,4
280,0
281,9
282,2
283,0
284,0
285,0
286,0
287,0
288,9
289,9
290,0
291,0
292,0
293,9
294,9
295,6
296,0
297,0
298,0
299,0
300,6
301,9
302,0
303,2
304,6
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,9
313,0
314,0
315,0
316,0
317,4
318,0
319,0
320,4
321,0
322,0
323,9
324,0
325,0
326,0
327,0
328,0
329,0
330,6
331,0
332,0
333,0
334,0
335,9
336,0
337,0
338,6
339,0
340,6
341,0
342,0
343,0
344,6
345,0
346,6
347,0
348,2
349,2
350,6
351,0
352,0
353,2
354,0
355,0
356,0
357,9
358,2
359,0
360,0
361,6
362,0
363,0
364,4
365,2
366,0
367,0
368,0
369,6
370,0
371,0
372,7
373,9
374,0
375,6
376,9
377,0
378,0
379,0
380,6
381,0
382,0
383,4
384,0
385,6
386,2
387,0
388,0
389,7
390,0
391,0
392,9
393,9
394,6
395,0
396,0
397,0
398,7
399,0
400,9
401,0
402,6
403,0
404,0
405,0
406,9
407,0
408,0
409,6
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,9
421,6
422,6
423,0
424,0
425,0
426,4
427,0
428,4
429,0
430,4
431,0
432,0
433,2
434,6
435,0
436,0
437,9
438,0
439,0
440,0
441,4
442,7
443,4
444,0
445,4
446,0
447,0
448,0
449,9
450,0
451,7
452,6
453,9
454,0
455,9
456,2
457,0
458,0
459,6
460,0
461,7
462,0
463,0
464,0
465,0
466,0
467,4
468,4
469,0
470,0
471,0
472,9
473,0
474,6
475,0
476,0
477,0
478,0
479,0
480,4
481,0
482,0
483,2
484,7
485,9
486,4
487,0
488,0
489,7
490,7
491,4
492,2
493,0
494,6
495,0
496,6
497,0
498,2
499,0
500,6
501,0
502,9
503,4
504,0
505,0
506,0
507,0
508,0
509,6
510,7
511,0
512,0
513,0
514,0
515,0
516,0
517,7
518,0
519,0
520,6
521,9
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,7
530,0
531,0
532,0
533,0
534,0
535,0
536,6
537,0
538,4
539,0
540,0
541,2
542,0
543,2
544,0
545,0
546,0
547,9
548,2
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,7
557,0
558,6
559,2
560,0
561,0
562,0
563,0
564,6
565,0
566,4
567,0
568,0
569,4
570,6
571,0
572,0
573,6
574,0
575,4
576,0
577,2
578,0
579,2
580,0
581,0
582,7
583,6
584,9
585,0
586,7
587,0
588,0
589,0
590,0
591,0
592,4
593,0
594,0
595,6
596,6
597,6
598,0
599,0
600,0
601,0
602,0
603,0
604,6
605,2
606,0
607,0
608,6
609,0
610,0
611,4
612,0
613,0
614,2
615,0
616,7
617,0
618,0
619,9
620,0
621,0
622,9
623,4
624,0
625,0
626,0
627,0
628,6
629,2
630,6
631,0
632,0
633,6
634,0
635,4
636,0
637,0
638,0
639,0
640,0
641,9
642,9
643,6
644,7
645,2
646,4
647,0
648,0
649,0
650,4
651,0
652,0
653,0
654,0
655,2
656,4
657,0
658,0
659,7
660,2
661,0
662,0
663,0
664,4
665,0
666,0
667,0
668,0
669,6
670,0
671,9
672,0
673,0
674,0
675,7
676,0
677,2
678,6
679,0
680,6
681,9
682,0
683,0
684,0
685,0
686,4
687,6
688,9
689,9
690,2
691,6
692,0
693,0
694,0
695,4
696,0
697,9
698,0
699,0
700,4
701,0
702,0
703,0
704,6
705,0
706,4
707,4
708,6
709,0
710,0
711,0
712,0
713,0
714,0
715,6
716,2
717,0
718,7
719,0
720,9
721,0
722,0
723,0
724,0
725,0
726,6
727,0
728,7
729,0
730,0
731,0
732,0
733,2
734,7
735,7
736,0
737,0
738,0
739,0
740,4
741,4
742,0
743,4
744,0
745,9
746,0
747,0
748,0
749,6
750,4
751,9
752,4
753,4
754,0
755,4
756,7
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,4
765,0
766,0
767,0
768,0
769,0
770,6
771,0
772,0
773,0
774,0
775,0
776,4
777,6
778,0
779,0
780,0
781,6
782,9
783,0
784,0
785,0
786,0
787,4
788,0
789,0
790,0
791,0
792,4
793,0
794,4
795,0
796,0
797,6
798,9
799,9
800,0
801,0
802,0
803,0
804,0
805,4
806,9
807,6
808,0
809,0
810,0
811,4
812,2
813,0
814,2
815,0
816,0
817,9
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,9
826,0
827,4
828,0
829,2
830,0
831,0
832,0
833,9
834,0
835,9
836,6
837,0
838,0
839,0
840,0
841,9
842,0
843,0
844,2
845,6
846,7
847,2
848,0
849,0
850,0
851,9
852,0
853,7
854,2
855,0
856,0
857,0
858,0
859,0
860,0
861,4
862,0
863,0
864,2
865,0
866,6
867,9
868,2
869,0
870,4
871,0
872,4
873,2
874,0
875,0
876,0
877,0
878,0
879,0
880,4
881,9
882,0
883,0
884,2
885,0
886,0
887,0
888,4
889,9
890,0
891,0
892,6
893,0
894,0
895,2
896,9
897,4
898,0
899,0
900,0
901,0
902,0
903,0
904,4
905,0
906,0
907,0
908,2
909,7
910,2
911,0
912,4
913,0
914,0
915,6
916,0
917,6
918,0
919,0
920,7
921,0
922,0
923,9
924,4
925,0
926,9
927,6
928,6
929,0
930,0
931,2
932,0
933,4
934,0
935,0
936,0
937,7
938,9
939,0
940,6
941,0
942,6
943,0
944,0
945,9
946,0
947,2
948,9
949,2
950,6
951,7
952,0
953,2
954,0
955,2
956,0
957,0
958,0
959,2
960,0
961,9
962,4
963,0
964,9
965,0
966,0
967,0
968,0
969,0
970,0
971,2
972,9
973,6
974,7
975,0
976,0
977,0
978,7
979,4
980,0
981,0
982,7
983,9
984,7
985,7
986,0
987,0
988,0
989,2
990,0
991,9
992,0
993,6
994,0
995,0
996,6
997,2
998,2
999,9
1000,0
1001,7
1002,0
1003,0
1004,0
1005,0
1006,4
1007,6
1008,0
1009,9
1010,2
1011,6
1012,0
1013,7
1014,0
1015,0
1016,2
1017,0
1018,0
1019,9
1020,0
1021,9
1022,9
1023,6
1024,2
1025,6
1026,0
1027,0
1028,0
1029,0
1030,9
1031,0
1032,0
1033,9
1034,4
1035,0
1036,0
1037,0
1038,2
1039,0
1040,0
1041,6
1042,0
1043,9
1044,2
1045,2
1046,0
1047,7
1048,6
1049,6
1050,2
1051,6
1052,0
1053,0
1054,9
1055,0
1056,0
1057,0
1058,6
1059,0
1060,0
1061,0
1062,6
1063,0
1064,9
1065,4
1066,0
1067,0
1068,0
1069,9
1070,0
1071,0
1072,7
1073,6
1074,0
1075,2
1076,6
1077,0
1078,2
1079,9
1080,0
1081,0
1082,2
1083,0
1084,0
1085,0
1086,6
1087,6
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,7
1095,6
1096,0
1097,0
1098,0
1099,0
1100,4
1101,2
1102,9
1103,0
1104,0
1105,2
1106,0
1107,6
1108,4
1109,6
1110,0
1111,2
1112,0
1113,0
1114,0
1115,0
1116,2
1117,6
1118,4
1119,9
1120,0
1121,0
1122,4
1123,0
1124,6
1125,0
1126,0
1127,6
1128,0
1129,2
1130,0
1131,0
1132,0
1133,0
1134,0
1135,6
1136,0
1137,7
1138,0
1139,0
1140,6
1141,0
1142,2
1143,0
1144,2
1145,0
1146,4
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,4
1154,7
1155,4
1156,0
1157,0
